Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Sampletype,Method.of.detection,Gene,Pathogen,Hosts.studied,Host.positive,Infection.prevalence.host,Ecotype.AP,Sequencing,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.AF,Same.reference,Multiple.species,Notes,Birds
0028,"Bown et al., 2003","Northwest England (N53:20:48, W03:02:50)",UK,No,Woodland,1997 and 1998,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Blood,nested PCR,16S rRNA,A. phagocytophilum,201,23,0.11,No,Yes,No,NA,No,NA,No,,No birds
0029,"Bown et al., 2006","Kielder, Kielder Forest, Northumberland (55° 13N, 2° 33W); Kershope, Kielder Forest, Northumberland (55° 13N, 2° 33W); Redesdale, Kielder Forest, Northumberland (55° 13N, 2° 33W)",UK,No,Grassland with conifer plantation,August 2001,Field vole,Microtus agrestis,Mammal,Scientific capturing,Blood,nested PCR,16S rRNA,A. phagocytophilum,163,11,0.07,No,Yes,Yes,95% Infection prevalence host: 3-12%,T+AF,"Bown et al., (2006)",No,,No birds
0030,"Bown et al., 2011","Kielder Forest, Northumberland, (55° 13'N, 2°33'W)",UK,No,"Clear cuts in conifer plantation, dominated by grasses (e.g., Deschampsia cespitosa Beauv.), rushes (e.g., Juncus effusus), and bryophytes.",March 2004 - January 2006 (not in December and February),Field vole,Microtus agrestis,Mammal,Scientific capturing,Blood,real-time PCR and nested PCR,16S rRNA,A. phagocytophilum,1505,96,0.06,No,Yes,No,NA,T,"Bown et al., (2011)",No,,No birds
0031,"Bown et al., 2011","Kielder Forest, Northumberland, (55° 13'N, 2°33'W)",UK,No,"Clear cuts in conifer plantation, dominated by grasses (e.g., Deschampsia cespitosa Beauv.), rushes (e.g., Juncus effusus), and bryophytes.",March 2004 - January 2006 (not in December and February),Common shrew,Sorex araneus,Mammal,Scientific capturing,Blood,real-time PCR and nested PCR,16S rRNA,A. phagocytophilum,647,121,0.19,No,Yes,No,NA,T,"Bown et al., (2011)",No,,No birds
0032,"Bray et al., 2007","Leahurst field station, Cheshire, England (OS grid reference SJ 315 774)",UK,No,Grassy wasteland,February 2001 - July 2003.,Common shrew,Sorex araneus,Mammal,Scientific capturing,Blood,nested PCR,16S rRNA,A. phagocytophilum,76,1,0.01,No,Yes,No,NA,No,NA,No,,No birds
0033,"Burri et al., 2014","Bois de l’Hôpital, Neuchâtel, (47°00'23.67''N; 6°56'50.00''E)",Switzerland,No,NA,"September, October, and November 2011 & April and May 2012.",Apodemus spp. & Myodes glareolus,NA,Mammal,Scientific capturing,Xenodiagnosis,Real-time PCR,msp2,A. phagocytophilum,94,0,0.00,NA,NA,No,NA,T+AF,"Burri et al., (2014)",Yes,,No birds
0034,"Cayol et al., 2018",Jyväskylä,Finland,No,Urban and non-urban,May - September 2012,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Blood,Real-time PCR,msp2,A. phagocytophilum,329,114,0.35,No,No,No,NA,T,"Cayol et al., (2018)",No,,No birds
0035,"Cezanne et al., 2017","Federal states of Tyrol, Vorarlberg and Salzburg",Austria,No,NA,April to June 2014,Red deer,Cervus elaphus,Mammal,Hunting,Blood,PCR,16S and groEL,A. phagocytophilum,196,3,0.02,No,Yes,Yes,"95% CI: 0,5-4,4%",No,NA,No,,No birds
0036,"Chastagner et al., 2016",Haute-Saone,France,No,NA,"June, July, September and October 2010",Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Spleen,real-time PCR,msp2,A. phagocytophilum,54,11,0.20,No,Yes,No,NA,No,NA,No,,No birds
0037,"Chastagner et al., 2016","Zone Atelier Armorique (N48°29'22.40”,W1°33'41.48”); Vallons et Coteaux de Gascogne (N 43◦16'2.64”, E 0◦51'51.00”); Haute-Saone (N 47◦40'24.66”, E 6◦42'6.00”)",France,No,NA,"June, July & October 2010 and May & October in 2012 -2013",Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Spleen,real-time PCR,msp2,A. phagocytophilum,668,21,0.03,No,Yes,No,NA,No,NA,No,,No birds
0038,"Chastagner et al., 2016","Zone Atelier Armorique (N48°29'22.40”,W1°33'41.48”); Vallons et Coteaux de Gascogne (N 43◦16'2.64”, E 0◦51'51.00”); Haute-Saone (N 47◦40'24.66”, E 6◦42'6.00”)",France,No,NA,"June, July & October 2010 and May & October in 2012 -2013",Bank vole,Myodes glareolus,Mammal,Scientific capturing,Spleen,real-time PCR,msp2,A. phagocytophilum,441,78,0.18,No,Yes,No,NA,No,NA,No,,No birds
0039,"Chastagner et al., 2017","Vallons et Coteaux de Gascogne area, near the town of Aurignac (N 43°13′, E 0°52′)",France,No,Fragmented agricultural landscape. Woodlands cover 24% of the land surface; the two main forest patches and many smaller woodlots and hedges are dominated by Quercus species. Croplands cover 32% of the land surface. Pastures cover another 40%.,Winter 2011 and 2012,European roe deer,Capreolus capreolus,Mammal,Scientific capturing,Blood,real-time PCR,msp2 and p44,A. phagocytophilum,79,60,0.76,2,Yes,No,NA,No,NA,No,,No birds
0040,"Christova & Gladnishka, 2005",Western border Bulgaria,Bulgaria,No,"Homes, outbuildings, gardens, and fields",September–December 2002,Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing,Spleen,PCR,epank 1,A. phagocytophilum,9,3,0.33,No,No,No,NA,No,NA,No,,No birds
0041,"Christova & Gladnishka, 2005",Western border Bulgaria,Bulgaria,No,"Homes, outbuildings, gardens, and fields",September–December 2002,House mouse,Mus musculus,Mammal,Scientific capturing,Spleen,PCR,epank 1,A. phagocytophilum,24,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0042,"Christova & Gladnishka, 2005",Western border Bulgaria,Bulgaria,No,"Homes, outbuildings, gardens, and fields",September–December 2002,Black rat,Rattus rattus,Mammal,Scientific capturing,Spleen,PCR,epank 1,A. phagocytophilum,136,10,0.07,No,No,No,NA,No,NA,No,,No birds
0043,"Christova et al., 2012",Bulgaria,Bulgaria,No,"Outbuildings, gardens and fields",2011-2012,Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing,Spleen,PCR,epank1,A. phagocytophilum,96,13,0.14,No,No,No,NA,No,NA,No,,No birds
0044,"Christova et al., 2012",Bulgaria,Bulgaria,No,"Outbuildings, gardens and fields",2011-2012,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Spleen,PCR,epank1,A. phagocytophilum,128,11,0.09,No,No,No,NA,No,NA,No,,No birds
0045,"Christova et al., 2012",Bulgaria,Bulgaria,No,"Outbuildings, gardens and fields",2011-2012,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Spleen,PCR,epank1,A. phagocytophilum,11,1,0.09,No,No,No,NA,No,NA,No,,No birds
0046,"Da Rold et al., 2018","Province of Belluno, Veneto Region",Italy,No,NA,November 2015 - March 2016 and September 2016 - January 2017,Red fox,Vulpes vulpes,Mammal,Hunting,Spleen,real-time PCR,msp2,A. phagocytophilum,97,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0047,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Long-tailed bushtit,Aegithalos caudatus,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,1,1,1.00,No,Yes,No,NA,No,NA,No,,Migratory birds
0048,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,Hunting seasons 2003-2004,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,6,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0049,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Eurasian goldfinch,Carduelis carduelis,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,No,NA,No,,Migratory birds
0050,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,Hunting seasons 2003-2004,Red deer,Cervus elaphus,Mammal,Hunting,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,20,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0051,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Rock bunting,Emberiza cia,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,1,1,1.00,No,Yes,No,NA,No,NA,No,,Migratory birds
0052,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Cirl bunting,Emberiza cirlus,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,Migratory birds
0053,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,1,1,1.00,No,Yes,No,NA,No,NA,No,,Migratory birds
0054,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Crested lark,Galerida cristata,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,Migratory birds
0055,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Great grey shrike,Lanius excubitor,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,Migratory birds
0056,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Woodchat shrike,Lanius senator,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,1,1,1.00,No,Yes,No,NA,No,NA,No,,Migratory birds
0057,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Blue tit,Cyanistes caeruleus,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,No,NA,No,,Migratory birds
0058,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Great tit,Parus major,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,4,0,0.00,NA,NA,No,NA,No,NA,No,,Migratory birds
0059,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,House sparrow,Passer domesticus,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,18,1,0.06,No,Yes,No,NA,No,NA,No,,Migratory birds
0060,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Spanish sparrow,Passer hispaniolensis,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,3,1,0.33,No,Yes,No,NA,No,NA,No,,Migratory birds
0061,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,Migratory birds
0062,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Eurasian magpie,Pica pica,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,1,1,1.00,No,Yes,No,NA,No,NA,No,,Migratory birds
0063,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,European serin,Serinus serinus,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,No,NA,No,,Migratory birds
0064,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,Hunting seasons 2003-2004,Wild boar,Sus scrofa,Mammal,Hunting,Spleen,PCR,msp4 and 16S rRNA,A. phagocytophilum,18,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0065,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Sardinian warbler,Sylvia melanocephala,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,No,NA,No,,Migratory birds
0066,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Common blackbird,Turdus merula,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,3,3,1.00,No,Yes,No,NA,No,NA,No,,Migratory birds
0067,"De La Fuente et al., 2005","Ciudad Real, Castilla–La Mancha (38°55'N;0°36'E)",Spain,No,Evergreen oak (Quercus ilex) scrubland with scattered pastures and small crops,2003-2004,Hoopoe,Upupa epops,Bird,Scientific capturing,Blood,PCR,msp4 and 16S rRNA,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,Migratory birds
0068,"De La Fuente et al., 2008","Natural Park of ""Los Alcornocales"" in the province of Cadiz, Andalucia",Spain,No,"Cork oak (Quercus suber), olive tree (Olea europaea, var. sylvestris) and evergreen oak (Quercus ilex) forests mixed with scrubland (mainly Pistacia spp., Cystus spp., Erica spp., Rhamnus lyciodes, and Phillyrea angustifolia) and pastures. For one roe deer: predominant cork oak and hom oack (Quercus faginea) forest.",June-July 2005,European roe deer,Capreolus capreolus,Mammal,Scientific capturing,Blood,PCR,msp4,A. phagocytophilum,17,3,0.18,No,No,No,NA,No,NA,No,,No birds
0069,"Di Domenico et al., 2016",Abruzzo region ,Italy,No,NA,August 2011 - September 2014,European roe deer,Capreolus capreolus,Mammal,Found dead (of which 80% road kill),Spleen,real-time PCR,msp2,A. phagocytophilum,59,32,0.54,No,Yes,Yes,"95%CI: 41,6-66,3%",No,NA,No,,No birds
