Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Method.of.detection,Pathogen,Tick.hosts,Hosts.studied,Genospecies.identification,Larvae.tested,Larvae.positive,Larval.infection.prevalence,Nymphs.tested,Nymphs.positive,Nymphal.infection.prevalence,Adults.tested,Adults.positive,Adult.infection.prevalence,Hosts.with.infected.ticks,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.BH,Same.reference,Multiple.species,Notes,Birds,Additional.data.email,Total.ticks.tested,Total.ticks.positive,Total.ticks.infection.prevalence,Data.collection,Double.ext
026,"Capligina et al., 2014",Lake Pape (56°09'N; 21°03'E),Latvia,No,Costal dunes and reedbeds),September-October 2009,Great tit,Parus major,Bird,Scientific capturing ,Real-time PCR,B. burgdorferi s.l.,2,NA,NA,0,NA,NA,2,0,0.00,NA,NA,NA,NA,No ,NA,No,NA,No,,Migratory birds,No,,,,L,No
027,"Capligina et al., 2014",Lake Pape (56°09'N; 21°03'E),Latvia,No,Costal dunes and reedbeds),September-October 2009,Common redstart,Phoenicurus phoenicurus,Bird,Scientific capturing ,Real-time PCR,B. burgdorferi s.l.,1,NA,NA,0,NA,NA,1,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
028,"Capligina et al., 2014",Lake Pape (56°09'N; 21°03'E),Latvia,No,Costal dunes and reedbeds),September-October 2009,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing ,Real-time PCR,B. burgdorferi s.l.,1,NA,NA,0,NA,NA,1,0,0.00,NA,NA,NA,NA,No ,NA,No,NA,No,,Migratory birds,No,,,,L,No
029,"Capligina et al., 2014",Lake Pape (56°09'N; 21°03'E),Latvia,No,Costal dunes and reedbeds),September-October 2009,Goldcrest,Regulus regulus,Bird,Scientific capturing ,Real-time PCR,B. burgdorferi s.l.,1,NA,NA,0,NA,NA,1,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
030,"Chvostac et al., 2018",Sitina urban forest (48º10'11.303” N; 17º4'2.255” E),Slovakia,No,Forest ,Summer 2012,Great tit,Parus major,Bird,Scientific capturing ,PCR,B. burgdorferi s.l. ,18,NA,Yes,245,27,0.11,10,1,0.10,0,NA,NA,5,No,NA,No,NA,No,,Resident birds,Yes,,,,L,No
031,"Chvostac et al., 2018",Sitina urban forest (48º10'11.303” N; 17º4'2.255” E),Slovakia,No,Forest ,Summer 2012,Willow tit,Parus montanus,Bird,Scientific capturing ,PCR,B. burgdorferi s.l.,2,NA,No,4,0,0.00,1,0,0.00,0,NA,NA,0,No,NA,No,NA,No,,Resident birds,Yes,,,,L,No
032,"Chvostac et al., 2018",Sitina urban forest (48º10'11.303” N; 17º4'2.255” E),Slovakia,No,Forest ,Summer 2012,European robin,Erithacus rubecula,Bird,Scientific capturing ,PCR,B. burgdorferi s.l.,2,NA,No,12,0,0.00,3,1,0.33,0,NA,NA,1,No,NA,No,NA,No,,Resident birds,Yes,,,,L,No
033,"Chvostac et al., 2018",Sitina urban forest (48º10'11.303” N; 17º4'2.255” E),Slovakia,No,Forest ,Summer 2012,Eurasian nuthatch,Sitta europaea,Bird,Scientific capturing ,PCR,B. burgdorferi s.l. ,5,NA,Yes,9,3,0.33,0,NA,NA,0,NA,NA,2,No,NA,No,NA,No,,Resident birds,Yes,,,,L,No
034,"Chvostac et al., 2018",Sitina urban forest (48º10'11.303” N; 17º4'2.255” E),Slovakia,No,Forest ,Summer 2012,Common blackbird,Turdus merula,Bird,Scientific capturing ,PCR,B. burgdorferi s.l.,1,NA,Yes,6,5,0.83,3,0,0.00,0,NA,NA,1,No,NA,No,NA,No,,Resident birds,Yes,,,,L,No
035,"Chvostac et al., 2018",Sitina urban forest (48º10'11.303” N; 17º4'2.255” E),Slovakia,No,Forest ,Summer 2012,Spotted flycatcher,Muscicapa striata,Bird,Scientific capturing ,PCR,B. burgdorferi s.l.,1,NA,No,2,0,0.00,0,NA,NA,0,NA,NA,0,No,NA,No,NA,No,,Resident birds,Yes,,,,L,No
036,"Cicculli et al., 2019a","Lozari, Urbino and Terrenzana",France,No,NA,"September, 2016",Black rat,Rattus rattus,Mammal,Scientific capturing ,Real-time PCR,B. burgdorferi s.l.,9,9,No,0,NA,NA,0,NA,NA,13,2,0.15,NA,No,NA,T,"Cicculli et al., 2019",No,,No birds,No,,,,L,No
037,"Coipan et al., 2018","Deelderwoud, Kroondomein, Planken Wambuis, Rheebruggen, Schoorlse duinen, Vijverhof, Vledderhof, Zwanemeerbos",Netherlands,No,Forest,June-November 2013-2014,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing ,Triplex qPCR,B. burgdorferi s.l.,48,48,Yes,733,98,0.13,0,NA,NA,0,NA,NA,16,No,NA,T,"Coipan et al., 2018",No,,No birds,No,,,,L,No
038,"Coipan et al., 2018","Deelderwoud, Kroondomein, Planken Wambuis, Rheebruggen, Schoorlse duinen, Vijverhof, Vledderhof, Zwanemeerbos",Netherlands,No,Forest ,June-November 2013-2014,Bank vole,Myodes glareolus,Mammal,Scientific capturing ,Triplex qPCR,B. burgdorferi s.l.,44,44,Yes,570,152,0.27,0,NA,NA,0,NA,NA,15,No,NA,T,"Coipan et al., 2018",No,,No birds,No,,,,L,No
039,"Coipan et al., 2018","Deelderwoud, Kroondomein, Planken Wambuis, Rheebruggen, Schoorlse duinen, Vijverhof, Vledderhof, Zwanemeerbos",Netherlands,No,Forest,June-November 2013-2014,Field vole,Microtus agrestis,Mammal,Scientific capturing ,Triplex qPCR,B. burgdorferi s.l.,5,5,Yes,12,5,0.42,0,NA,NA,0,NA,NA,3,No,NA,T,"Coipan et al., 2018",No,,No birds,No,,,,L,No
040,"Coipan et al., 2018","Deelderwoud, Kroondomein, Planken Wambuis, Rheebruggen, Schoorlse duinen, Vijverhof, Vledderhof, Zwanemeerbos",Netherlands,No,Forest ,June-November 2013-2014,Common shrew,Sorex araneus,Mammal,Scientific capturing ,Triplex qPCR,B. burgdorferi s.l. ,15,21,NA,113,0,0.00,0,NA,NA,0,NA,NA,0,No,NA,T,"Coipan et al., 2018",No,,No birds,No,,,,L,No
041,"Coipan et al., 2018","Deelderwoud, Kroondomein, Planken Wambuis, Rheebruggen, Schoorlse duinen, Vijverhof, Vledderhof, Zwanemeerbos",Netherlands,No,Forest,June-November 2013-2014,Eurasian pygmy shrew,Sorex minutus,Mammal,Scientific capturing ,Triplex qPCR,B. burgdorferi s.l. ,2,2,NA,3,0,0.00,0,NA,NA,0,NA,NA,0,No,NA,T,"Coipan et al., 2018",No,,No birds,No,,,,L,No
042,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Eurasian sparrowhawk,Accipiter nisus,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,0,NA,NA,2,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,2,0,0.00,H,Yes
043,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Eurasian reed warbler,Acrocephalus scirpaceus,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
044,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Marsh warbler,Acrocephalus palustris,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
045,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",European greenfinch,Carduelis chloris,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,1,0,0.00,4,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,5,0,0.00,H,Yes
046,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Eurasian siskin,Carduelis spinus,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
047,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Red-backed shrike,Lanius collurio,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,4,0,0.00,3,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,7,0,0.00,H,Yes
048,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Common redpoll,Carduelis flammea,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,1,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
049,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Goldcrest,Regulus regulus,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
050,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Eurasian wren,Troglodytes troglodytes,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,25,0,0.00,8,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,33,0,0.00,H,Yes
051,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Common linnet,Carduelis cannabina,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
052,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Eurasian blackcap,Sylvia atricapilla,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,4,0,0.00,4,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,8,0,0.00,H,Yes
053,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Icterine warbler,Hippolais icterina,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,15,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,15,0,0.00,H,Yes
054,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Blue tit,Cyanistes caeruleus,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,1,0,0.00,8,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,9,0,0.00,H,Yes
055,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Reed bunting,Emberiza schoeniclus,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,1,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
056,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Barred warbler,Sylvia nisoria,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,1,0,0.00,3,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,4,0,0.00,H,Yes
057,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Garden warbler,Sylvia borin,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
058,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Eurasian treecreeper,Certhia familiaris,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
059,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Common rosefinch,Carpodacus erythrinus,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
060,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Wood warbler,Phylloscopus sibilatrix,Bird,,Sequencing,B. burgdorferi s.l.,,,NA,1,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
061,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",European robin,Erithacus rubecula,Bird,,Sequencing,B. burgdorferi s.l.,,,No,296,6,0.02,150,15,0.10,0,NA,NA,,,,,,No,,Migratory birds,,446,21,0.05,H,Yes
062,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Tree pipit,Anthus trivialis,Bird,,Sequencing,B. burgdorferi s.l.,,,No,17,8,0.47,12,6,0.50,0,NA,NA,,,,,,No,,Migratory birds,,29,14,0.48,H,Yes
063,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Common chaffinch,Fringilla coelebs,Bird,,Sequencing,B. burgdorferi s.l.,,,No,8,8,1.00,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,9,8,0.89,H,Yes
064,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Lesser whitethroat,Sylvia curruca,Bird,,Sequencing,B. burgdorferi s.l.,,,No,4,0,0.00,7,2,0.29,0,NA,NA,,,,,,No,,Migratory birds,,11,2,0.18,H,Yes
065,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Bluethroat,Luscinia svecica,Bird,,Sequencing,B. burgdorferi s.l.,,,No,0,NA,NA,8,1,0.13,0,NA,NA,,,,,,No,,Migratory birds,,8,1,0.13,H,Yes
066,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Eurasian skylark,Alauda arvensis,Bird,,Sequencing,B. burgdorferi s.l.,,,No,6,1,0.17,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,6,1,0.17,H,Yes
067,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Eurasian bullfinch,Pyrrhula pyrrhula,Bird,,Sequencing,B. burgdorferi s.l.,,,No,1,0,0.00,7,2,0.29,0,NA,NA,,,,,,No,,Migratory birds,,8,2,0.25,H,Yes
068,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Willow warbler,Phylloscopus trochilus,Bird,,Sequencing,B. burgdorferi s.l.,,,No,9,0,0.00,12,1,0.08,0,NA,NA,,,,,,No,,Migratory birds,,21,1,0.05,H,Yes
069,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Common redstart,Phoenicurus phoenicurus,Bird,,Sequencing,B. burgdorferi s.l.,,,No,12,0,0.00,11,2,0.18,0,NA,NA,,,,,,No,,Migratory birds,,23,2,0.09,H,Yes
070,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Dunnock,Prunella modularis,Bird,,Sequencing,B. burgdorferi s.l.,,,No,2,0,0.00,7,1,0.14,0,NA,NA,,,,,,No,,Migratory birds,,9,1,0.11,H,Yes
071,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Thrush nightingale,Luscinia luscinia,Bird,,Sequencing,B. burgdorferi s.l.,,,No,5,0,0.00,4,2,0.50,0,NA,NA,,,,,,No,,Migratory birds,,9,2,0.22,H,Yes
072,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Great spotted woodpecker,Dendrocopos major,Bird,,Sequencing,B. burgdorferi s.l.,,,No,2,0,0.00,6,4,0.67,0,NA,NA,,,,,,No,,Migratory birds,,8,4,0.50,H,Yes
073,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Common starling,Sturnus vulgaris,Bird,,Sequencing,B. burgdorferi s.l.,,,No,7,3,0.43,11,4,0.36,0,NA,NA,,,,,,No,,Migratory birds,,18,7,0.39,H,Yes
074,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Whitethroat,Sylvia communis,Bird,,Sequencing,B. burgdorferi s.l.,,,No,29,3,0.10,18,4,0.22,0,NA,NA,,,,,,No,,Migratory birds,,47,7,0.15,H,Yes
075,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Song thrush,Turdus philomelos,Bird,,Sequencing,B. burgdorferi s.l.,,,No,88,14,0.16,53,17,0.32,0,NA,NA,,,,,,No,,Migratory birds,,141,31,0.22,H,Yes
076,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Common blackbird,Turdus merula,Bird,,Sequencing,B. burgdorferi s.l.,,,No,36,11,0.31,134,28,0.21,0,NA,NA,,,,,,No,,Migratory birds,,170,39,0.23,H,Yes
077,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Great tit,Parus major,Bird,,Sequencing,B. burgdorferi s.l.,,,No,22,6,0.27,13,5,0.38,0,NA,NA,,,,,,No,,Migratory birds,,35,11,0.31,H,Yes
