Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Hosts.studied,Host.infested,Infestation.prevalence,Total.ticks,Mean.abundance,Stages,Larvae.on.hosts,Mean.larval.abundance,Hosts.infested.with.larvae,Nymphs.on.hosts,Mean.nymphal.abundance,Host.infested.with.nymphs,Adults.on.hosts,Mean.adult.abundance,Host.infested.with.adults,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.AF.AH,Same.ref.AH.AF,Same.animals.BH.BF,Same.ref.BH.BF,Multiple.species,Notes,Birds,Additional.data.email,Data.collection,Double.ext
0011,"Amore et al., 2007","Le Cerbaie, Tuscany",Italy,No,NA,March 2005,Sardinian warbler,Sylvia melanocephala,Bird,Scientific capturing,2,NA,NA,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,0,No,NA,No,NA,,,No,Additional information obtained from author,Migratory birds,,F,Yes
0012,"Amore et al., 2007","Le Cerbaie, Tuscany",Italy,No,NA,March 2005,Eurasian wren,Troglodytes troglodytes,Bird,Scientific capturing,1,NA,NA,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,0,No,NA,No,NA,,,No,Additional information obtained from author,Migratory birds,,F,Yes
0013,"Amore et al., 2007","Le Cerbaie, Tuscany",Italy,No,NA,March 2005,Eurasian blackcap,Sylvia atricapilla,Bird,Scientific capturing,1,NA,NA,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,0,No,NA,No,NA,,,No,Additional information obtained from author,Migratory birds,,F,Yes
0014,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April - July 2012, April - July & September - October 2013",Marsh warbler,Acrocephalus palustris,Bird,Scientific capturing,2,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0015,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April & June - July 2012, April - July & September - October 2013",Long-tailed bushtit,Aegithalos caudatus,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0016,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April - July 2012, April - July & September - October 2013",Common kingfisher,Alcedo atthis,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0017,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April - July 2012, April - July & September - October 2013",Tree pipit,Anthus trivialis,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0018,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E) and Drienovec (48°10'N, 17°03'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods. / Submediterranean xero-thermophilous oak woods and colline limestone grasslands,"April & June - July 2012, April - July & September - October 2013",Eurasian goldfinch,Carduelis carduelis,Bird,Scientific capturing,15,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0019,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April & June - July 2012, April - July & September - October 2013",European greenfinch,Carduelis chloris,Bird,Scientific capturing,26,2,0.08,2,0.08,Yes,0,0.00,NA,2,0.08,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0020,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April - July 2012, April - July & September - October 2013",Eurasian treecreeper,Certhia familiaris,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0021,"Berthova et al., 2016","Drienovec (48°10'N, 17°03'E)",Slovakia,No,Submediterranean xero-thermophilous oak woods and colline limestone grasslands,April 2012,Hawfinch,Coccothraustes coccothraustes,Bird,Scientific capturing,3,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0022,"Berthova et al., 2016","Bratislava (48°10'N, 17°30'E); Prievidza (48°47'N, 18°34'E) and Drienovec (48°10'N, 17°03'E)",Slovakia,No,"City Forest Park: deciduous woodlands, oaks in lower altitudes and beech in higher altitudes. / Forest-steppe natural area with Carpathian oak-hornbeam woods. / Submediterranean xero-thermophilous oak woods and colline limestone grasslands","April & June - August 2012, April - June & September - October 2013",Blue tit,Cyanistes caeruleus,Bird,Scientific capturing,13,3,0.23,6,0.46,Yes,3,0.23,NA,3,0.23,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0023,"Berthova et al., 2016","Bratislava (48°10'N, 17°30'E) and Prievidza (48°47'N, 18°34'E)",Slovakia,No,"City Forest Park: deciduous woodlands, oaks in lower altitudes and beech in higher altitudes. / Forest-steppe natural area with Carpathian oak-hornbeam woods.","April & June - August 2012, April - June & September - October 2013",Great spotted woodpecker,Dendrocopos major,Bird,Scientific capturing,5,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0024,"Berthova et al., 2016","Drienovec (48°10'N, 17°03'E)",Slovakia,No,Submediterranean xero-thermophilous oak woods and colline limestone grasslands,April 2012,Rock bunting,Emberiza cia,Bird,Scientific capturing,2,1,0.50,2,1.00,Yes,0,0.00,NA,2,1.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0025,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E) and Drienovec (48°10'N, 17°03'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods. / Submediterranean xero-thermophilous oak woods and colline limestone grasslands,"April & June - July 2012, April - July & September - October 2013",Yellowhammer,Emberiza citrinella,Bird,Scientific capturing,5,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0026,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E) and Drienovec (48°10'N, 17°03'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods. / Submediterranean xero-thermophilous oak woods and colline limestone grasslands,"April & June - July 2012, April - July & September - October 2013",Reed bunting,Emberiza schoeniclus,Bird,Scientific capturing,17,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0027,"Berthova et al., 2016","Bratislava (48°10'N, 17°30'E); Prievidza (48°47'N, 18°34'E) and Drienovec (48°10'N, 17°03'E)",Slovakia,No,"City Forest Park: deciduous woodlands, oaks in lower altitudes and beech in higher altitudes. / Forest-steppe natural area with Carpathian oak-hornbeam woods. / Submediterranean xero-thermophilous oak woods and colline limestone grasslands","April & June - August 2012, April - June & September - October 2013",European robin,Erithacus rubecula,Bird,Scientific capturing,52,22,0.42,66,1.27,Yes,39,0.75,NA,27,0.52,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0028,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April & June - July 2012, April - July & September - October 2013",Common kestrel,Falco tinnunculus,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0029,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April & June - July 2012, April - July & September - October 2013",Collared flycatcher,Ficedula albicollis,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0030,"Berthova et al., 2016","Drienovec (48°10'N, 17°03'E)",Slovakia,No,Submediterranean xero-thermophilous oak woods and colline limestone grasslands,April 2012,Europaen pied flycatcher,Ficedula hypoleuca,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0031,"Berthova et al., 2016","Bratislava (48°10'N, 17°30'E); Prievidza (48°47'N, 18°34'E) and Drienovec (48°10'N, 17°03'E)",Slovakia,No,"City Forest Park: deciduous woodlands, oaks in lower altitudes and beech in higher altitudes. / Forest-steppe natural area with Carpathian oak-hornbeam woods. / Submediterranean xero-thermophilous oak woods and colline limestone grasslands","April & June - August 2012, April - June & September - October 2013",Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,9,2,0.22,15,1.67,Yes,13,1.44,NA,2,0.22,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0032,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April & June - July 2012, April - July & September - October 2013",Icterine warbler,Hippolais icterina,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0033,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April & June - July 2012, April - July & September - October 2013",Red-backed shrike,Lanius collurio,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0034,"Berthova et al., 2016","Drienovec (48°10'N, 17°03'E)",Slovakia,No,Submediterranean xero-thermophilous oak woods and colline limestone grasslands,April 2012,Common grasshopperwarbler,Locustella naevia,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0035,"Berthova et al., 2016","Drienovec (48°10'N, 17°03'E)",Slovakia,No,Submediterranean xero-thermophilous oak woods and colline limestone grasslands,April 2012,Common nightingale,Luscinia megarhynchos,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0036,"Berthova et al., 2016","Bratislava (48°10'N, 17°30'E)",Slovakia,No,"City Forest Park: deciduous woodlands, oaks in lower altitudes and beech in higher altitudes.","June & August 2012, May - June & September 2013",Spotted flycatcher,Muscicapa striata,Bird,Scientific capturing,1,1,1.00,2,2.00,Yes,2,2.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0037,"Berthova et al., 2016","Bratislava (48°10'N, 17°30'E) and Prievidza (48°47'N, 18°34'E)",Slovakia,No,"City Forest Park: deciduous woodlands, oaks in lower altitudes and beech in higher altitudes. / Forest-steppe natural area with Carpathian oak-hornbeam woods.","April & June - August 2012, April - June & September - October 2013",Great tit,Parus major,Bird,Scientific capturing,37,31,0.84,380,10.27,Yes,336,9.08,NA,44,1.19,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0038,"Berthova et al., 2016","Bratislava (48°10'N, 17°30'E) and Prievidza (48°47'N, 18°34'E)",Slovakia,No,"City Forest Park: deciduous woodlands, oaks in lower altitudes and beech in higher altitudes. / Forest-steppe natural area with Carpathian oak-hornbeam woods.","April & June - August 2012, April - June & September - October 2013",Willow tit,Poecile montanus,Bird,Scientific capturing,6,4,0.67,9,1.50,Yes,8,1.33,NA,1,0.17,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0039,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E) and Drienovec (48°10'N, 17°03'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods. / Submediterranean xero-thermophilous oak woods and colline limestone grasslands,"April & June - July 2012, April - July & September - October 2013",Eurasian tree sparrow,Passer montanus,Bird,Scientific capturing,7,1,0.14,2,0.29,Yes,2,0.29,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0040,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April & June - July 2012, April - July & September - October 2013",Common redstart,Phoenicurus phoenicurus,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0041,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April - July 2012, April - July & September - October 2013",Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,3,2,0.67,2,0.67,Yes,0,0.00,NA,2,0.67,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0042,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April - July 2012, April - July & September - October 2013",Willow warbler,Phylloscopus trochilus,Bird,Scientific capturing,2,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0043,"Berthova et al., 2016","Bratislava (48°10'N, 17°30'E)",Slovakia,No,"City Forest Park: deciduous woodlands, oaks in lower altitudes and beech in higher altitudes.","June & August 2012, May - June & September 2013",European green woodpecker,Picus viridis,Bird,Scientific capturing,2,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0044,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April - July 2012, April - July & September - October 2013",Marsh tit,Poecile palustris,Bird,Scientific capturing,2,1,0.50,1,0.50,Yes,1,0.50,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0045,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E) and Drienovec (48°10'N, 17°03'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods. / Submediterranean xero-thermophilous oak woods and colline limestone grasslands,"April & June - July 2012, April - July & September - October 2013",Dunnock,Prunella modularis,Bird,Scientific capturing,7,3,0.43,14,2.00,Yes,7,1.00,NA,7,1.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0046,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April - July 2012, April - July & September - October 2013",Eurasian penduline tit,Remiz pendulinus,Bird,Scientific capturing,2,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0047,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E) and Drienovec (48°10'N, 17°03'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods. / Submediterranean xero-thermophilous oak woods and colline limestone grasslands,"April & June - July 2012, April - July & September - October 2013",Eurasian woodcock,Scolopax rusticola,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0048,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E) and Drienovec (48°10'N, 17°03'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods. / Submediterranean xero-thermophilous oak woods and colline limestone grasslands,"April & June - July 2012, April - July & September - October 2013",European serin,Serinus serinus,Bird,Scientific capturing,19,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0049,"Berthova et al., 2016","Bratislava (48°10'N, 17°30'E) and Prievidza (48°47'N, 18°34'E)",Slovakia,No,"City Forest Park: deciduous woodlands, oaks in lower altitudes and beech in higher altitudes. / Forest-steppe natural area with Carpathian oak-hornbeam woods.","April & June - August 2012, April - June & September - October 2013",Eurasian nuthatch,Sitta europaea,Bird,Scientific capturing,11,7,0.64,26,2.36,Yes,24,2.18,NA,1,0.09,NA,1,0.09,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0050,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April - July 2012, April - July & September - October 2013",European turtle dove,Streptopelia turtur,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0051,"Berthova et al., 2016","Bratislava (48°10'N, 17°30'E); Prievidza (48°47'N, 18°34'E) and Drienovec (48°10'N, 17°03'E)",Slovakia,No,"City Forest Park: deciduous woodlands, oaks in lower altitudes and beech in higher altitudes. / Forest-steppe natural area with Carpathian oak-hornbeam woods. / Submediterranean xero-thermophilous oak woods and colline limestone grasslands","April & June - August 2012, April - June & September - October 2013",Eurasian blackcap,Sylvia atricapilla,Bird,Scientific capturing,60,1,0.02,1,0.02,Yes,1,0.02,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0052,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April - July 2012, April - July & September - October 2013",Garden warbler,Sylvia borin,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0053,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods.,"April - July 2012, April - July & September - October 2013",Whitethroat,Sylvia communis,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0054,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E) and Drienovec (48°10'N, 17°03'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods. / Submediterranean xero-thermophilous oak woods and colline limestone grasslands,"April & June - July 2012, April - July & September - October 2013",Lesser whitethroat,Sylvia curruca,Bird,Scientific capturing,7,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0055,"Berthova et al., 2016","Bratislava (48°10'N, 17°30'E); Prievidza (48°47'N, 18°34'E) and Drienovec (48°10'N, 17°03'E)",Slovakia,No,"City Forest Park: deciduous woodlands, oaks in lower altitudes and beech in higher altitudes. / Forest-steppe natural area with Carpathian oak-hornbeam woods. / Submediterranean xero-thermophilous oak woods and colline limestone grasslands","April & June - August 2012, April - June & September - October 2013",Common blackbird,Turdus merula,Bird,Scientific capturing,13,8,0.62,63,4.85,Yes,14,1.08,NA,49,3.77,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0056,"Berthova et al., 2016","Prievidza (48°47'N, 18°34'E) and Drienovec (48°10'N, 17°03'E)",Slovakia,No,Forest-steppe natural area with Carpathian oak-hornbeam woods. / Submediterranean xero-thermophilous oak woods and colline limestone grasslands,"April & June - July 2012, April - July & September - October 2013",Song thrush,Turdus philomelos,Bird,Scientific capturing,3,3,1.00,3,1.00,Yes,1,0.33,NA,2,0.67,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0057,"Biernat et al., 2016a","Łopuchówko Forest Division, Zielonka forest",Poland,No,Natural oakand pine forest stand (up to 200 years old) including also youngerhornbeams and beeches,May to September 2006,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,142,134,0.94,2279,16.05,Yes,2264,15.94,134,15,0.11,13,0,0.00,0,Yes,"SD for mean larval abundance is <b1>15,4. SD for mean nymphal abundance is <b1>0,3.",No,NA,,,No,,No birds,,F,Yes
0058,"Biernat et al., 2016a","Łopuchówko Forest Division, Zielonka forest",Poland,No,Natural oakand pine forest stand (up to 200 years old) including also youngerhornbeams and beeches,May to September 2006,Bank vole,Myodes glareolus,Mammal,Scientific capturing,46,24,0.52,60,1.30,Yes,60,1.30,24,0,0.00,0,0,0.00,0,Yes,"SD for mean larval abundance is <b1>2,0.",No,NA,,,No,,No birds,,F,Yes
0059,"Biernat et al., 2016b",Zielonka forest,Poland,No,Site 1: oak (Quercus sessilis) and Scots pine (Pinus silvestris). Site 2: Natural oakand pine forest stand (up to 200 years old) including also youngerhornbeams and beeches,May- July and Augustus-September 2006,Tree pipit,Anthus trivialis,Bird,Scientific capturing,1,1,1.00,36,36.00,Yes,31,31.00,NA,5,5.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0060,"Biernat et al., 2016b",Zielonka forest,Poland,No,Site 1: oak (Quercus sessilis) and Scots pine (Pinus silvestris). Site 2: Natural oakand pine forest stand (up to 200 years old) including also youngerhornbeams and beeches,May- July and Augustus-September 2006,Eurasian treecreeper,Certhia familiaris,Bird,Scientific capturing,12,1,0.08,5,0.42,Yes,5,0.42,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0061,"Biernat et al., 2016b",Zielonka forest,Poland,No,Site 1: oak (Quercus sessilis) and Scots pine (Pinus silvestris). Site 2: Natural oakand pine forest stand (up to 200 years old) including also youngerhornbeams and beeches,May- July and Augustus-September 2006,Hawfinch,Coccothraustes coccothraustes,Bird,Scientific capturing,5,3,0.60,13,2.60,Yes,11,2.20,NA,2,0.40,NA,0,0.00,NA,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0062,"Biernat et al., 2016b",Zielonka forest,Poland,No,Site 1: oak (Quercus sessilis) and Scots pine (Pinus silvestris). Site 2: Natural oakand pine forest stand (up to 200 years old) including also youngerhornbeams and beeches,May- July and Augustus-September 2006,Great spotted woodpecker,Dendrocopos major,Bird,Scientific capturing,10,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0063,"Biernat et al., 2016b",Zielonka forest,Poland,No,Site 1: oak (Quercus sessilis) and Scots pine (Pinus silvestris). Site 2: Natural oakand pine forest stand (up to 200 years old) including also youngerhornbeams and beeches,May- July and Augustus-September 2006,Black woodpecker,Dryocopus martius,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Resident birds,,F,Yes
